date,COD_mod
2025-06-04,1802
2025-06-04,1803
2025-06-04,1804
2025-06-04,1805
2025-06-04,1806
2025-06-04,1807
2025-06-04,1808
2025-06-04,1809
2025-06-04,1810
2025-06-04,1811
2025-06-04,1812
2025-06-04,1813
2025-06-04,1814
2025-06-04,1815
2025-06-04,1816
2025-06-04,1817
2025-06-04,1818
2025-06-04,1819
2025-06-04,1820
2025-06-04,2200
2025-06-04,2210
2025-06-04,2231
2025-06-06,608
2025-06-06,609
2025-06-06,615
2025-06-06,616
2025-06-07,962
2025-06-07,975
2025-06-07,976
2025-06-07,982
2025-06-07,983
2025-06-07,1814
2025-06-07,1815
2025-06-07,1816
2025-06-09,713
2025-06-09,714
2025-06-09,719
2025-06-09,722
2025-06-09,1781
2025-06-09,1786
2025-06-09,1789
2025-06-09,1790
2025-06-09,1791
2025-06-09,1792
2025-06-09,1793
2025-06-09,1795
2025-06-09,1796
2025-06-09,1797
2025-06-09,1798
2025-06-09,1799
2025-06-09,1800
2025-06-09,1801
2025-06-09,1802
2025-06-09,1803
2025-06-09,1804
2025-06-09,1805
2025-06-09,1806
2025-06-09,1807
2025-06-09,1816
2025-06-09,1817
2025-06-09,1818
2025-06-09,1819
2025-06-09,1820
2025-06-10,975
2025-06-10,979
2025-06-10,980
2025-06-10,982
2025-06-10,983
2025-06-10,1814
2025-06-12,63
2025-06-12,64
2025-06-12,100
2025-06-12,107
2025-06-12,108
2025-06-12,606
2025-06-12,607
2025-06-12,714
2025-06-12,718
2025-06-12,719
2025-06-12,720
2025-06-12,722
2025-06-12,1803
2025-06-17,2351
2025-06-17,2353
2025-06-17,2354
2025-06-17,2355
2025-06-17,2356
2025-06-17,36
2025-06-20,606
2025-06-20,607
2025-06-20,719
2025-06-20,720
2025-06-23,107
2025-06-23,108
2025-06-23,109
2025-06-24,1797
2025-06-24,1798
2025-06-24,1799
2025-06-24,1800
2025-06-24,1803
2025-06-24,1804
2025-06-24,1805
2025-06-24,1814
2025-06-24,1816
2025-06-24,1817
2025-06-24,930
2025-06-28,2310
2025-06-28,2311
2025-06-28,2315
2025-06-28,2322
2025-06-28,662
2025-06-28,664
2025-06-28,665
2025-06-28,668
2025-06-29,1797
2025-06-29,1798
2025-06-29,1799
2025-06-29,1800
2025-06-29,1803
2025-06-29,1804
2025-06-29,1805
2025-06-29,1814
2025-06-29,1816
2025-06-29,1818
2025-06-29,1820
2025-06-29,321
